pork_score,contest_count,prize_count,chicken_score,prize_average_all,prize_average_prized,overall_score,brisket_score,state_full,prize_total,best_category,state,ribs_score
174.180946667,6.0,5.0,174.65788,7566.66666667,9080.0,685.99012,175.25296,Florida,45400.0,brisket,fl,173.577573333
174.631907692,8.0,7.0,173.5146,12093.75,13821.4285714,680.382788571,174.004234286,Texas,96750.0,pork,tx,173.757052308
174.219877333,2.0,2.0,173.187705,10000.0,10000.0,679.48079,173.73242,Maine,20000.0,pork,me,173.539088
174.906853333,21.0,19.0,175.212536216,13204.7619048,14594.7368421,686.695738378,175.302663784,Georgia,277300.0,brisket,ga,174.644546667
174.734040816,13.0,10.0,175.2156336,7194.23076923,9352.5,686.6764016,175.2932928,Minnesota,93525.0,brisket,mn,174.389967347
174.886193548,13.0,13.0,175.325099683,6819.23076923,6819.23076923,687.177733333,175.286341587,Indiana,88650.0,chicken,in,174.495268387
174.999597838,12.0,11.0,175.514576,11344.1666667,12375.4545455,688.042967467,175.463826133,Alabama,136130.0,chicken,al,174.741911351
174.85932,10.0,9.0,175.413890824,10495.0,11661.1111111,687.674047059,175.142929882,Colorado,104950.0,chicken,co,174.727253333
175.184680396,17.0,16.0,175.613313725,9136.47058824,9707.5,688.653726275,175.226367843,Oklahoma,155320.0,chicken,ok,174.961782178
175.161099429,4.0,4.0,175.617899623,8750.0,8750.0,688.661551698,175.196304906,Arizona,35000.0,chicken,az,174.93291581
175.180554366,38.0,34.0,175.401860556,5698.55263158,6368.97058824,688.078765,174.865673889,Missouri,216545.0,chicken,mo,174.719153239
175.250962581,13.0,13.0,175.529685096,9931.53846154,9931.53846154,688.577978599,174.968100892,Mississippi,129110.0,chicken,ms,174.811393032
175.249844615,1.0,1.0,175.536958481,10000.0,10000.0,688.598610633,174.971680506,West Virginia,10000.0,chicken,wv,174.808727179
175.262161013,2.0,2.0,175.5155895,13500.0,13500.0,688.5968415,174.960834,New Mexico,27000.0,chicken,nm,174.825991392
175.130610058,14.0,13.0,175.429273988,7784.28571429,8383.07692308,685.067369655,174.865099653,Illinois,108980.0,chicken,il,174.609340465
175.066184686,4.0,4.0,175.418927458,11650.0,11650.0,684.841856629,174.802146441,Connecticut,46600.0,chicken,ct,174.551518182
175.04917697,26.0,25.0,175.339565941,13021.1538462,13542.0,678.961834902,174.7493296,California,338550.0,chicken,ca,174.293887921
174.912694562,20.0,20.0,175.21305448,6777.25,6777.25,677.587173571,174.631925479,Wisconsin,135545.0,chicken,wi,174.101823348
174.899688969,6.0,6.0,175.222516652,5333.5,5333.5,677.878091826,174.647927822,Ohio,32001.0,chicken,oh,174.120259031
174.744434576,13.0,13.0,175.108031,7880.76923077,7880.76923077,677.905795556,174.506883697,Virginia,102450.0,chicken,va,174.005479667
174.69012459,8.0,8.0,175.104195161,9194.375,9194.375,678.144698327,174.492118699,South Carolina,73555.0,chicken,sc,174.004160645
174.716375652,10.0,10.0,175.081498605,7515.0,7515.0,677.174067126,174.507207529,Iowa,75150.0,chicken,ia,173.997977054
174.893279446,36.0,36.0,175.200204626,9242.91666667,9242.91666667,678.904954343,174.595899381,Kansas,332745.0,chicken,ks,174.23130966
174.788808562,10.0,10.0,175.100219737,6445.0,6445.0,678.627451726,174.471248638,New York,64450.0,chicken,ny,174.123815
174.784832318,3.0,3.0,175.107850945,9000.0,9000.0,678.715543742,174.468237105,Wyoming,27000.0,chicken,wy,174.137310228
174.797166262,11.0,11.0,175.117313962,21681.8181818,21681.8181818,679.026246729,174.46440254,Arkansas,238500.0,chicken,ar,174.159975849
174.776003009,6.0,6.0,175.122330617,10816.6666667,10816.6666667,679.107239144,174.466651713,Maryland,64900.0,chicken,md,174.157782963
174.780334675,19.0,18.0,175.157726647,10960.5263158,11569.4444444,679.672816647,174.520695294,North Carolina,208250.0,chicken,nc,174.202202915
174.779715219,5.0,5.0,175.164974713,12510.0,12510.0,679.787529801,174.543797565,Nebraska,62550.0,chicken,ne,174.204007356
174.898521409,26.0,24.0,175.310817754,9725.0,10535.4166667,680.462326366,174.682344,Tennessee,252850.0,chicken,tn,174.337964706
174.914800849,9.0,8.0,175.326154346,8322.22222222,9362.5,680.626438549,174.646871557,Kentucky,74900.0,chicken,ky,174.342836859
174.834303049,10.0,10.0,175.262737551,8010.0,8010.0,680.45269596,174.581924319,Pennsylvania,80100.0,chicken,pa,174.265841224
174.838803907,2.0,2.0,175.260678782,9000.0,9000.0,680.507196583,174.58105821,Oregon,18000.0,chicken,or,174.271163452
174.820593995,4.0,4.0,175.244476382,10100.0,10100.0,680.436637214,174.551026025,New Jersey,40400.0,chicken,nj,174.247523015
174.7757764,7.0,7.0,175.212785778,8714.28571429,8714.28571429,680.322388851,174.502255124,Michigan,61000.0,chicken,mi,174.199850469
174.776219802,4.0,4.0,175.221921174,9793.75,9793.75,680.409333269,174.518125911,South Dakota,39175.0,chicken,sd,174.203484597
174.768772346,1.0,1.0,175.223818732,4450.0,4450.0,680.393857005,174.508524226,Massachusetts,4450.0,chicken,ma,174.201209951
174.753959804,3.0,3.0,175.212820533,10766.6666667,10766.6666667,680.37620777,174.500393171,Delaware,32300.0,chicken,de,174.193544794
174.751101463,2.0,2.0,175.206722313,5047.5,5047.5,680.384602387,174.49073534,Vermont,10095.0,chicken,vt,174.193752482
174.749403777,3.0,3.0,175.189985072,9975.0,9975.0,680.425313175,174.485904386,Montana,29925.0,chicken,mt,174.197420287
174.77023619,7.0,6.0,175.205988706,18571.4285714,21666.6666667,680.590345175,174.492788246,Nevada,130000.0,chicken,nv,174.197783718
174.758758955,1.0,1.0,175.204354178,6000.0,6000.0,680.569235721,174.482831584,Rhode Island,6000.0,chicken,ri,174.19476
174.758100047,2.0,2.0,175.204611402,10100.0,10100.0,680.591144815,174.488347106,Louisiana,20200.0,chicken,la,174.198357196
174.752640943,1.0,1.0,175.193646061,10000.0,10000.0,680.56849552,174.486530141,Washington,10000.0,chicken,wa,174.187414639
174.743964424,1.0,1.0,175.190455442,10000.0,10000.0,680.564130691,174.481215363,Utah,10000.0,chicken,ut,174.180206884
174.743951174,1.0,1.0,175.189167703,3000.0,3000.0,680.555120184,174.474595701,New Hampshire,3000.0,chicken,nh,174.177269791
174.752251054,1.0,1.0,175.187335556,5100.0,5100.0,680.580562752,174.47602014,Idaho,5100.0,chicken,id,174.179113519
